Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
78,	 SepLen2,	 SepWid0,	 PetLen2,	 PetWid2,	 No
79,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
80,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
81,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
82,	 SepLen2,	 SepWid2,	 PetLen4,	 PetWid4,	 No
83,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
84,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
85,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
86,	 SepLen3,	 SepWid2,	 PetLen4,	 PetWid4,	 No
87,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 No
88,	 SepLen0,	 SepWid1,	 PetLen2,	 PetWid3,	 No
89,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
90,	 SepLen3,	 SepWid1,	 PetLen4,	 PetWid3,	 No
91,	 SepLen4,	 SepWid3,	 PetLen4,	 PetWid4,	 No
92,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 No
93,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
94,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
95,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 No
96,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 No
97,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid4,	 No
98,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 No
99,	 SepLen4,	 SepWid3,	 PetLen4,	 PetWid4,	 No
100,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid4,	 No
101,	 SepLen2,	 SepWid0,	 PetLen3,	 PetWid2,	 No
102,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
103,	 SepLen1,	 SepWid1,	 PetLen3,	 PetWid3,	 No
104,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
105,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
106,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
107,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid3,	 No
108,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
109,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
110,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 No
111,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid3,	 No
112,	 SepLen4,	 SepWid1,	 PetLen4,	 PetWid3,	 No
113,	 SepLen4,	 SepWid3,	 PetLen4,	 PetWid3,	 No
114,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid4,	 No
115,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
116,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
117,	 SepLen4,	 SepWid2,	 PetLen4,	 PetWid4,	 No
118,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid4,	 No
119,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
120,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
121,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
122,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid4,	 No
