Day,	Outlook,	Temperature,	Humidity,	Wind
D98,	Rain,	Cool,	High,	Weak
D99,	Sunny,	Hot,	Normal,	Weak
D100,	Overcast,	Mild,	High,	Weak
D101,	Overcast,	Hot,	Normal,	Strong
D102,	Sunny,	Cool,	High,	Weak
D103,	Rain,	Mild,	High,	Weak
D104,	Rain,	Mild,	Normal,	Strong
D105,	Rain,	Hot,	Normal,	Weak
D106,	Rain,	Hot,	Normal,	Weak
D107,	Rain,	Mild,	Normal,	Strong
D108,	Sunny,	Hot,	Normal,	Weak
D109,	Sunny,	Cool,	High,	Strong
D110,	Overcast,	Mild,	Normal,	Strong
D111,	Sunny,	Cool,	Normal,	Strong
D112,	Sunny,	Cool,	High,	Strong
D113,	Rain,	Cool,	Normal,	Weak
D114,	Rain,	Hot,	High,	Weak
D115,	Overcast,	Cool,	High,	Weak
D116,	Overcast,	Hot,	High,	Weak
D117,	Rain,	Cool,	High,	Weak
D118,	Overcast,	Hot,	Normal,	Strong
D119,	Sunny,	Mild,	High,	Weak
D120,	Overcast,	Hot,	Normal,	Strong
D121,	Sunny,	Cool,	High,	Strong
D122,	Overcast,	Cool,	Normal,	Weak
D123,	Rain,	Hot,	Normal,	Weak
D124,	Overcast,	Cool,	High,	Weak
D125,	Rain,	Hot,	Normal,	Strong
D126,	Overcast,	Hot,	Normal,	Strong
D127,	Overcast,	Mild,	Normal,	Strong
D128,	Overcast,	Hot,	Normal,	Weak
D129,	Sunny,	Hot,	Normal,	Weak
D130,	Overcast,	Cool,	Normal,	Strong
D131,	Sunny,	Hot,	High,	Strong
D132,	Sunny,	Mild,	High,	Strong
D133,	Rain,	Cool,	Normal,	Weak
D134,	Overcast,	Hot,	High,	Weak
D135,	Sunny,	Mild,	Normal,	Weak
D136,	Sunny,	Mild,	High,	Weak
D137,	Overcast,	Hot,	Normal,	Weak
D138,	Sunny,	Mild,	Normal,	Weak
D139,	Overcast,	Mild,	Normal,	Strong
D140,	Overcast,	Mild,	High,	Strong
D141,	Sunny,	Hot,	Normal,	Weak
D142,	Rain,	Cool,	High,	Strong
D143,	Sunny,	Mild,	Normal,	Strong
D144,	Overcast,	Mild,	High,	Strong
D145,	Rain,	Hot,	Normal,	Weak
D146,	Rain,	Cool,	Normal,	Strong
D147,	Rain,	Mild,	High,	Strong
D148,	Rain,	Hot,	High,	Weak
D149,	Rain,	Hot,	High,	Weak
D150,	Overcast,	Cool,	Normal,	Weak
D151,	Sunny,	Cool,	Normal,	Strong
D152,	Rain,	Cool,	Normal,	Strong
D153,	Rain,	Mild,	Normal,	Weak
D154,	Rain,	Hot,	High,	Weak
D155,	Sunny,	Hot,	High,	Strong
D156,	Rain,	Mild,	Normal,	Weak
D157,	Rain,	Cool,	High,	Weak
D158,	Sunny,	Mild,	Normal,	Strong
D159,	Overcast,	Mild,	High,	Strong
D160,	Rain,	Cool,	Normal,	Weak
D161,	Sunny,	Mild,	Normal,	Strong
D162,	Sunny,	Mild,	Normal,	Weak
D163,	Rain,	Cool,	Normal,	Weak
D164,	Sunny,	Cool,	Normal,	Strong
D165,	Sunny,	Hot,	High,	Weak
D166,	Rain,	Hot,	High,	Strong
D167,	Sunny,	Mild,	High,	Strong
D168,	Rain,	Hot,	Normal,	Weak
D169,	Rain,	Hot,	Normal,	Strong
D170,	Overcast,	Cool,	Normal,	Strong
D171,	Sunny,	Mild,	High,	Strong
D172,	Rain,	Mild,	Normal,	Weak
D173,	Overcast,	Cool,	High,	Weak
D174,	Sunny,	Cool,	High,	Strong
D175,	Sunny,	Hot,	Normal,	Weak
D176,	Sunny,	Cool,	High,	Strong
D177,	Overcast,	Mild,	High,	Weak
D178,	Sunny,	Mild,	High,	Weak
D179,	Overcast,	Cool,	Normal,	Weak
D180,	Sunny,	Cool,	Normal,	Weak
D181,	Rain,	Mild,	High,	Weak
D182,	Rain,	Hot,	Normal,	Strong
D183,	Rain,	Mild,	High,	Strong
D184,	Sunny,	Mild,	High,	Strong
D185,	Sunny,	Cool,	Normal,	Weak
D186,	Sunny,	Cool,	High,	Strong
D187,	Overcast,	Hot,	Normal,	Weak
D188,	Overcast,	Cool,	Normal,	Strong
D189,	Overcast,	Hot,	Normal,	Weak
D190,	Overcast,	Hot,	Normal,	Strong
D191,	Overcast,	Mild,	Normal,	Weak
D192,	Overcast,	Hot,	High,	Strong
D193,	Rain,	Cool,	High,	Weak
D194,	Sunny,	Hot,	High,	Weak
D195,	Overcast,	Hot,	High,	Strong
D196,	Sunny,	Hot,	High,	Strong
D197,	Overcast,	Mild,	Normal,	Strong
D198,	Overcast,	Mild,	High,	Strong
D199,	Rain,	Mild,	Normal,	Weak
D200,	Overcast,	Mild,	Normal,	Weak
D201,	Overcast,	Hot,	High,	Weak
D202,	Rain,	Cool,	High,	Weak
D203,	Rain,	Hot,	Normal,	Strong
D204,	Overcast,	Hot,	High,	Strong
D205,	Rain,	Mild,	Normal,	Strong
D206,	Sunny,	Mild,	High,	Strong
D207,	Rain,	Cool,	High,	Weak
D208,	Overcast,	Cool,	High,	Weak
D209,	Overcast,	Hot,	High,	Weak
D210,	Rain,	Hot,	High,	Strong
D211,	Rain,	Cool,	High,	Weak
D212,	Rain,	Hot,	Normal,	Strong
D213,	Sunny,	Hot,	High,	Strong
D214,	Overcast,	Cool,	High,	Strong
D215,	Sunny,	Cool,	Normal,	Weak
D216,	Rain,	Cool,	High,	Weak
D217,	Rain,	Mild,	Normal,	Strong
D218,	Sunny,	Cool,	Normal,	Strong
D219,	Sunny,	Mild,	Normal,	Weak
D220,	Rain,	Cool,	High,	Strong
D221,	Sunny,	Cool,	Normal,	Strong
D222,	Rain,	Hot,	High,	Strong
D223,	Sunny,	Cool,	High,	Weak
D224,	Overcast,	Mild,	High,	Weak
D225,	Rain,	Mild,	Normal,	Strong
D226,	Sunny,	Cool,	Normal,	Weak
D227,	Sunny,	Hot,	Normal,	Strong
D228,	Rain,	Mild,	Normal,	Strong
D229,	Overcast,	Hot,	Normal,	Weak
D230,	Overcast,	Cool,	High,	Strong
D231,	Sunny,	Cool,	High,	Weak
D232,	Overcast,	Hot,	Normal,	Weak
D233,	Rain,	Cool,	High,	Strong
D234,	Rain,	Hot,	Normal,	Strong
D235,	Rain,	Cool,	Normal,	Weak
D236,	Sunny,	Cool,	High,	Strong
D237,	Sunny,	Cool,	High,	Strong
D238,	Sunny,	Hot,	High,	Strong
D239,	Rain,	Hot,	High,	Strong
D240,	Sunny,	Hot,	Normal,	Strong
D241,	Rain,	Mild,	High,	Strong
D242,	Sunny,	Hot,	Normal,	Strong
D243,	Sunny,	Cool,	Normal,	Strong
D244,	Rain,	Mild,	Normal,	Weak
D245,	Rain,	Mild,	Normal,	Strong
D246,	Overcast,	Mild,	High,	Strong
D247,	Overcast,	Cool,	Normal,	Strong
D248,	Overcast,	Mild,	High,	Weak
D249,	Rain,	Mild,	Normal,	Strong
D250,	Overcast,	Hot,	High,	Weak
D251,	Overcast,	Cool,	Normal,	Weak
D252,	Overcast,	Cool,	High,	Strong
D253,	Overcast,	Mild,	Normal,	Strong
D254,	Overcast,	Cool,	Normal,	Weak
D255,	Rain,	Hot,	Normal,	Weak
D256,	Rain,	Hot,	High,	Strong
D257,	Overcast,	Hot,	High,	Weak
D258,	Rain,	Mild,	Normal,	Weak
D259,	Sunny,	Mild,	High,	Strong
D260,	Rain,	Cool,	High,	Strong
D261,	Sunny,	Cool,	High,	Weak
D262,	Sunny,	Mild,	High,	Weak
D263,	Sunny,	Cool,	High,	Strong
D264,	Sunny,	Hot,	High,	Weak
D265,	Sunny,	Cool,	High,	Strong
D266,	Overcast,	Cool,	Normal,	Weak
D267,	Overcast,	Hot,	Normal,	Strong
D268,	Rain,	Cool,	High,	Strong
D269,	Overcast,	Cool,	Normal,	Weak
D270,	Overcast,	Cool,	Normal,	Strong
D271,	Sunny,	Cool,	High,	Strong
D272,	Overcast,	Hot,	High,	Strong
D273,	Rain,	Hot,	High,	Strong
D274,	Overcast,	Hot,	Normal,	Weak
D275,	Overcast,	Cool,	High,	Strong
D276,	Overcast,	Hot,	Normal,	Weak
D277,	Sunny,	Hot,	High,	Strong
D278,	Rain,	Cool,	Normal,	Strong
D279,	Overcast,	Mild,	Normal,	Weak
D280,	Rain,	Cool,	High,	Strong
D281,	Overcast,	Mild,	High,	Weak
D282,	Overcast,	Mild,	Normal,	Weak
D283,	Overcast,	Hot,	Normal,	Strong
D284,	Rain,	Mild,	High,	Strong
D285,	Overcast,	Cool,	Normal,	Weak
D286,	Sunny,	Hot,	Normal,	Strong
D287,	Sunny,	Hot,	Normal,	Weak
D288,	Rain,	Cool,	Normal,	Strong
D289,	Overcast,	Cool,	High,	Weak
D290,	Sunny,	Hot,	Normal,	Weak
D291,	Overcast,	Mild,	Normal,	Weak
D292,	Sunny,	Hot,	High,	Strong
D293,	Sunny,	Hot,	Normal,	Strong
D294,	Overcast,	Cool,	High,	Weak
D295,	Sunny,	Hot,	High,	Strong
D296,	Rain,	Hot,	High,	Weak
D297,	Sunny,	Hot,	Normal,	Weak
D298,	Rain,	Cool,	Normal,	Weak
D299,	Rain,	Mild,	Normal,	Weak
D300,	Sunny,	Hot,	Normal,	Weak
D301,	Sunny,	Mild,	Normal,	Strong
D302,	Rain,	Mild,	High,	Weak
D303,	Rain,	Hot,	Normal,	Strong
D304,	Rain,	Cool,	High,	Weak
D305,	Overcast,	Mild,	Normal,	Weak
D306,	Overcast,	Cool,	Normal,	Strong
D307,	Rain,	Mild,	Normal,	Strong
D308,	Rain,	Mild,	Normal,	Strong
D309,	Rain,	Hot,	High,	Strong
D310,	Overcast,	Hot,	High,	Strong
D311,	Rain,	Mild,	High,	Weak
D312,	Rain,	Mild,	High,	Weak
D313,	Sunny,	Mild,	High,	Strong
D314,	Overcast,	Mild,	Normal,	Weak
D315,	Rain,	Hot,	High,	Weak
D316,	Rain,	Mild,	High,	Weak
D317,	Sunny,	Cool,	Normal,	Weak
D318,	Overcast,	Hot,	Normal,	Weak
D319,	Overcast,	Hot,	Normal,	Strong
D320,	Sunny,	Cool,	Normal,	Strong
D321,	Overcast,	Cool,	Normal,	Weak
D322,	Rain,	Hot,	High,	Strong
D323,	Rain,	Mild,	Normal,	Strong
D324,	Rain,	Hot,	High,	Strong
D325,	Overcast,	Hot,	High,	Strong
D326,	Overcast,	Cool,	High,	Weak
D327,	Overcast,	Cool,	High,	Weak
D328,	Rain,	Cool,	Normal,	Weak
D329,	Rain,	Mild,	High,	Strong
D330,	Sunny,	Mild,	High,	Strong
D331,	Rain,	Cool,	High,	Strong
D332,	Rain,	Mild,	Normal,	Weak
D333,	Sunny,	Hot,	Normal,	Strong
D334,	Sunny,	Hot,	Normal,	Weak
D335,	Overcast,	Hot,	High,	Strong
D336,	Overcast,	Cool,	Normal,	Strong
D337,	Rain,	Mild,	Normal,	Weak
D338,	Sunny,	Hot,	High,	Weak
D339,	Overcast,	Mild,	Normal,	Strong
D340,	Sunny,	Cool,	High,	Weak
D341,	Overcast,	Hot,	High,	Weak
D342,	Rain,	Cool,	Normal,	Strong
D343,	Rain,	Mild,	Normal,	Strong
D344,	Overcast,	Mild,	Normal,	Strong
D345,	Sunny,	Cool,	High,	Weak
D346,	Sunny,	Hot,	Normal,	Weak
D347,	Sunny,	Hot,	High,	Strong
D348,	Rain,	Hot,	Normal,	Strong
D349,	Rain,	Hot,	High,	Strong
D350,	Sunny,	Hot,	High,	Strong
D351,	Overcast,	Mild,	Normal,	Strong
D352,	Rain,	Mild,	High,	Strong
D353,	Overcast,	Mild,	High,	Weak
D354,	Sunny,	Hot,	Normal,	Weak
D355,	Sunny,	Cool,	Normal,	Weak
D356,	Sunny,	Hot,	High,	Strong
D357,	Rain,	Hot,	High,	Strong
D358,	Sunny,	Hot,	Normal,	Weak
D359,	Sunny,	Cool,	High,	Weak
D360,	Rain,	Mild,	Normal,	Strong
D361,	Sunny,	Mild,	High,	Strong
D362,	Overcast,	Cool,	High,	Weak
D363,	Sunny,	Mild,	Normal,	Weak
D364,	Overcast,	Hot,	Normal,	Weak
D365,	Overcast,	Mild,	Normal,	Strong
D366,	Sunny,	Mild,	High,	Weak
D367,	Overcast,	Mild,	High,	Strong
D368,	Rain,	Cool,	High,	Weak
D369,	Rain,	Hot,	High,	Strong
D370,	Rain,	Cool,	High,	Weak
D371,	Overcast,	Cool,	High,	Weak
D372,	Rain,	Mild,	High,	Strong
D373,	Overcast,	Mild,	High,	Weak
D374,	Overcast,	Cool,	Normal,	Strong
D375,	Rain,	Hot,	High,	Strong
D376,	Sunny,	Hot,	High,	Strong
D377,	Rain,	Cool,	Normal,	Strong
D378,	Overcast,	Cool,	Normal,	Strong
D379,	Overcast,	Cool,	Normal,	Strong
D380,	Rain,	Mild,	Normal,	Strong
D381,	Sunny,	Hot,	Normal,	Strong
D382,	Overcast,	Hot,	Normal,	Strong
D383,	Overcast,	Hot,	Normal,	Strong
D384,	Overcast,	Cool,	High,	Strong
D385,	Rain,	Cool,	Normal,	Strong
D386,	Overcast,	Mild,	Normal,	Weak
D387,	Overcast,	Hot,	Normal,	Strong
D388,	Sunny,	Hot,	Normal,	Weak
D389,	Overcast,	Hot,	Normal,	Strong
D390,	Overcast,	Mild,	Normal,	Strong
D391,	Overcast,	Mild,	Normal,	Weak
D392,	Rain,	Mild,	Normal,	Strong
D393,	Overcast,	Hot,	Normal,	Weak
D394,	Sunny,	Mild,	High,	Weak
D395,	Overcast,	Mild,	Normal,	Weak
D396,	Rain,	Mild,	Normal,	Weak
D397,	Rain,	Hot,	High,	Strong
D398,	Rain,	Cool,	High,	Strong
D399,	Overcast,	Mild,	High,	Strong
D400,	Overcast,	Cool,	Normal,	Weak
D401,	Overcast,	Mild,	High,	Weak
D402,	Overcast,	Cool,	High,	Strong
D403,	Rain,	Hot,	Normal,	Weak
D404,	Rain,	Hot,	Normal,	Strong
D405,	Sunny,	Cool,	High,	Strong
D406,	Overcast,	Cool,	High,	Weak
D407,	Sunny,	Hot,	Normal,	Weak
D408,	Sunny,	Mild,	Normal,	Strong
D409,	Sunny,	Hot,	Normal,	Strong
D410,	Sunny,	Hot,	High,	Weak
D411,	Sunny,	Mild,	High,	Strong
D412,	Rain,	Mild,	Normal,	Strong
D413,	Sunny,	Mild,	High,	Weak
D414,	Overcast,	Hot,	Normal,	Weak
D415,	Rain,	Cool,	Normal,	Strong
D416,	Sunny,	Cool,	Normal,	Strong
D417,	Sunny,	Cool,	Normal,	Weak
D418,	Overcast,	Hot,	High,	Strong
D419,	Sunny,	Cool,	High,	Strong
D420,	Sunny,	Hot,	Normal,	Strong
D421,	Overcast,	Mild,	Normal,	Strong
D422,	Overcast,	Cool,	Normal,	Weak
D423,	Rain,	Hot,	High,	Strong
D424,	Sunny,	Hot,	High,	Strong
D425,	Rain,	Mild,	High,	Weak
D426,	Rain,	Cool,	Normal,	Weak
D427,	Sunny,	Hot,	Normal,	Strong
D428,	Rain,	Mild,	Normal,	Strong
D429,	Sunny,	Cool,	High,	Weak
D430,	Sunny,	Mild,	High,	Weak
D431,	Rain,	Hot,	Normal,	Weak
D432,	Rain,	Hot,	High,	Weak
D433,	Rain,	Mild,	Normal,	Strong
D434,	Rain,	Mild,	Normal,	Strong
D435,	Overcast,	Hot,	High,	Strong
D436,	Overcast,	Hot,	High,	Weak
D437,	Sunny,	Cool,	Normal,	Weak
D438,	Sunny,	Cool,	Normal,	Weak
D439,	Rain,	Cool,	High,	Strong
D440,	Rain,	Hot,	High,	Strong
D441,	Overcast,	Cool,	Normal,	Strong
D442,	Overcast,	Cool,	Normal,	Weak
D443,	Rain,	Mild,	High,	Weak
D444,	Rain,	Mild,	High,	Strong
D445,	Sunny,	Mild,	Normal,	Weak
D446,	Overcast,	Cool,	Normal,	Strong
D447,	Overcast,	Mild,	High,	Strong
D448,	Sunny,	Hot,	Normal,	Strong
D449,	Rain,	Hot,	Normal,	Weak
D450,	Sunny,	Mild,	High,	Strong
D451,	Overcast,	Cool,	High,	Weak
D452,	Sunny,	Mild,	High,	Strong
D453,	Overcast,	Cool,	High,	Strong
D454,	Sunny,	Cool,	Normal,	Strong
D455,	Overcast,	Hot,	Normal,	Strong
D456,	Overcast,	Hot,	Normal,	Weak
D457,	Overcast,	Cool,	High,	Strong
D458,	Sunny,	Mild,	High,	Strong
D459,	Sunny,	Mild,	High,	Weak
D460,	Overcast,	Hot,	Normal,	Strong
D461,	Sunny,	Cool,	High,	Weak
D462,	Rain,	Hot,	High,	Strong
D463,	Overcast,	Cool,	High,	Weak
D464,	Sunny,	Hot,	Normal,	Strong
D465,	Overcast,	Cool,	High,	Weak
D466,	Rain,	Mild,	High,	Weak
D467,	Overcast,	Cool,	Normal,	Strong
D468,	Rain,	Cool,	High,	Strong
D469,	Rain,	Cool,	High,	Weak
D470,	Sunny,	Cool,	Normal,	Weak
D471,	Overcast,	Mild,	Normal,	Weak
D472,	Overcast,	Mild,	Normal,	Strong
D473,	Sunny,	Cool,	Normal,	Strong
D474,	Rain,	Cool,	High,	Weak
D475,	Rain,	Mild,	Normal,	Strong
D476,	Sunny,	Cool,	High,	Weak
D477,	Rain,	Mild,	Normal,	Weak
D478,	Rain,	Cool,	Normal,	Strong
D479,	Sunny,	Cool,	High,	Weak
D480,	Overcast,	Cool,	Normal,	Strong
D481,	Sunny,	Hot,	Normal,	Weak
D482,	Sunny,	Cool,	Normal,	Weak
D483,	Overcast,	Cool,	High,	Weak
D484,	Rain,	Hot,	High,	Weak
D485,	Overcast,	Mild,	Normal,	Strong
D486,	Overcast,	Cool,	High,	Strong
D487,	Overcast,	Mild,	Normal,	Weak
D488,	Sunny,	Mild,	Normal,	Weak
D489,	Sunny,	Mild,	High,	Strong
D490,	Overcast,	Hot,	High,	Strong
D491,	Rain,	Hot,	Normal,	Strong
D492,	Overcast,	Mild,	Normal,	Strong
D493,	Sunny,	Cool,	Normal,	Weak
D494,	Overcast,	Hot,	High,	Weak
D495,	Rain,	Mild,	High,	Weak
D496,	Rain,	Mild,	Normal,	Weak
D497,	Overcast,	Hot,	High,	Weak
D498,	Overcast,	Mild,	High,	Weak
D499,	Sunny,	Hot,	High,	Weak
D500,	Sunny,	Mild,	High,	Strong
D501,	Overcast,	Mild,	Normal,	Strong
D502,	Rain,	Hot,	Normal,	Weak
D503,	Sunny,	Hot,	Normal,	Strong
D504,	Sunny,	Cool,	Normal,	Weak
D505,	Rain,	Mild,	High,	Strong
D506,	Overcast,	Mild,	Normal,	Weak
D507,	Overcast,	Hot,	High,	Strong
D508,	Rain,	Hot,	High,	Strong
D509,	Rain,	Hot,	Normal,	Weak
D510,	Rain,	Mild,	High,	Strong
D511,	Overcast,	Cool,	High,	Weak
D512,	Overcast,	Hot,	High,	Weak
D513,	Overcast,	Mild,	Normal,	Weak
D514,	Sunny,	Cool,	Normal,	Weak
D515,	Rain,	Mild,	Normal,	Weak
D516,	Sunny,	Hot,	Normal,	Strong
D517,	Rain,	Mild,	High,	Weak
D518,	Rain,	Cool,	High,	Weak
D519,	Rain,	Hot,	Normal,	Strong
D520,	Rain,	Cool,	Normal,	Weak
D521,	Overcast,	Cool,	Normal,	Strong
D522,	Sunny,	Mild,	Normal,	Weak
D523,	Rain,	Hot,	Normal,	Weak
D524,	Rain,	Mild,	Normal,	Strong
D525,	Sunny,	Hot,	Normal,	Weak
D526,	Rain,	Hot,	Normal,	Weak
D527,	Overcast,	Hot,	Normal,	Weak
D528,	Overcast,	Hot,	High,	Strong
D529,	Overcast,	Mild,	High,	Strong
D530,	Sunny,	Mild,	High,	Strong
D531,	Overcast,	Cool,	High,	Strong
D532,	Rain,	Mild,	Normal,	Strong
D533,	Sunny,	Hot,	High,	Strong
D534,	Sunny,	Hot,	High,	Strong
D535,	Sunny,	Cool,	High,	Strong
D536,	Sunny,	Hot,	Normal,	Strong
D537,	Rain,	Hot,	High,	Strong
D538,	Rain,	Mild,	High,	Strong
D539,	Rain,	Hot,	Normal,	Weak
D540,	Sunny,	Hot,	High,	Weak
D541,	Overcast,	Cool,	High,	Strong
D542,	Sunny,	Hot,	Normal,	Weak
D543,	Rain,	Cool,	Normal,	Strong
D544,	Overcast,	Cool,	High,	Strong
D545,	Overcast,	Hot,	Normal,	Weak
D546,	Overcast,	Cool,	High,	Weak
D547,	Rain,	Hot,	High,	Strong
D548,	Overcast,	Hot,	High,	Weak
D549,	Sunny,	Hot,	Normal,	Strong
D550,	Sunny,	Cool,	Normal,	Strong
D551,	Overcast,	Cool,	Normal,	Weak
D552,	Rain,	Cool,	Normal,	Strong
D553,	Sunny,	Hot,	Normal,	Strong
D554,	Sunny,	Hot,	Normal,	Weak
D555,	Overcast,	Mild,	Normal,	Strong
D556,	Overcast,	Hot,	Normal,	Weak
D557,	Overcast,	Mild,	Normal,	Weak
D558,	Sunny,	Hot,	High,	Strong
D559,	Sunny,	Mild,	High,	Strong
D560,	Overcast,	Mild,	High,	Weak
D561,	Overcast,	Hot,	Normal,	Strong
D562,	Rain,	Cool,	Normal,	Strong
D563,	Sunny,	Mild,	Normal,	Weak
D564,	Overcast,	Hot,	High,	Strong
D565,	Rain,	Mild,	High,	Weak
D566,	Overcast,	Cool,	High,	Strong
D567,	Sunny,	Hot,	High,	Weak
D568,	Overcast,	Hot,	Normal,	Weak
D569,	Sunny,	Mild,	Normal,	Weak
D570,	Rain,	Hot,	Normal,	Strong
D571,	Rain,	Mild,	High,	Strong
D572,	Overcast,	Hot,	High,	Weak
D573,	Rain,	Mild,	Normal,	Strong
D574,	Overcast,	Cool,	Normal,	Strong
D575,	Rain,	Hot,	Normal,	Weak
D576,	Overcast,	Hot,	Normal,	Weak
D577,	Overcast,	Hot,	Normal,	Weak
D578,	Overcast,	Hot,	Normal,	Strong
D579,	Sunny,	Hot,	Normal,	Weak
D580,	Sunny,	Mild,	High,	Strong
D581,	Rain,	Mild,	Normal,	Weak
D582,	Overcast,	Hot,	Normal,	Strong
D583,	Sunny,	Hot,	High,	Weak
D584,	Overcast,	Mild,	High,	Weak
D585,	Rain,	Hot,	Normal,	Weak
D586,	Sunny,	Mild,	Normal,	Weak
D587,	Overcast,	Hot,	High,	Strong
D588,	Rain,	Mild,	Normal,	Strong
D589,	Overcast,	Hot,	Normal,	Strong
D590,	Sunny,	Mild,	High,	Strong
D591,	Overcast,	Cool,	Normal,	Weak
D592,	Overcast,	Cool,	High,	Strong
D593,	Rain,	Cool,	High,	Strong
D594,	Overcast,	Mild,	Normal,	Weak
D595,	Rain,	Cool,	High,	Strong
D596,	Overcast,	Mild,	Normal,	Weak
D597,	Sunny,	Hot,	Normal,	Weak
D598,	Overcast,	Cool,	High,	Weak
D599,	Rain,	Cool,	Normal,	Strong
D600,	Sunny,	Cool,	High,	Weak
D601,	Overcast,	Mild,	Normal,	Weak
D602,	Overcast,	Cool,	High,	Strong
D603,	Overcast,	Cool,	High,	Weak
D604,	Overcast,	Hot,	Normal,	Strong
D605,	Overcast,	Mild,	High,	Strong
D606,	Overcast,	Hot,	Normal,	Weak
D607,	Sunny,	Hot,	Normal,	Strong
D608,	Rain,	Hot,	Normal,	Strong
D609,	Overcast,	Cool,	Normal,	Strong
D610,	Overcast,	Mild,	High,	Strong
D611,	Rain,	Cool,	Normal,	Weak
D612,	Sunny,	Hot,	Normal,	Weak
D613,	Rain,	Mild,	Normal,	Strong
