"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49025","0","10","70","0","2018","A","",331,3547,116921181,56954908,445951,634,32968,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,3.4,131,3.8,5259628,4.7,-8622791,-13.1,-138747,-23.7,5,0.8,278,0.9
"49027","0","10","70","0","2018","A","",396,4801,193623636,90940670,257945,776,40334,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.5,31,0.6,5499875,2.9,5118592,6.0,-95634,-27.0,17,2.2,891,2.3
"49029","0","10","70","0","2018","A","",357,2459,101500256,50242260,245450,794,41285,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,5.0,206,9.1,14157676,16.2,7627082,17.9,10295,4.4,48,6.4,2516,6.5
"49031","0","10","70","0","2018","A","",46,279,7420392,3715943,43247,512,26604,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-4.2,3,1.1,-359703,-4.6,413862,12.5,-1043,-2.4,-29,-5.4,-1551,-5.5
"49033","0","10","70","0","2018","A","",135,875,24031788,13846319,91256,528,27470,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.3,56,6.8,2252212,10.3,1990985,16.8,5734,6.7,16,3.1,872,3.3
"49035","0","10","70","0","2018","A","",46269,701784,38506959767,16891028752,83500508,1055,54870,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2031,4.6,17358,2.5,2419430180,6.7,1130618749,7.2,-12071247,-12.6,41,4.0,2143,4.1
"49037","0","10","70","0","2018","A","",347,4275,153367921,65280390,726282,690,35876,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,4.2,134,3.2,6584862,4.5,8214932,14.4,44711,6.6,8,1.2,427,1.2
"49039","0","10","70","0","2018","A","",641,8022,264230319,108597237,544071,633,32940,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,3.4,505,6.7,28782176,12.2,8519610,8.5,-61928,-10.2,31,5.1,1620,5.2
"49041","0","10","70","0","2018","A","",707,9010,334112246,169008777,764843,713,37082,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,6.8,369,4.3,29697585,9.8,12132398,7.7,-203362,-21.0,35,5.2,1851,5.3
"49043","0","10","70","0","2018","A","",2945,27330,1262501108,686411702,4749708,888,46196,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",92,3.2,382,1.4,72883670,6.1,44719517,7.0,-572047,-10.7,39,4.6,2052,4.6
"49045","0","10","70","0","2018","A","",1160,16072,656947545,311456119,1625866,786,40875,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,4.4,-141,-0.9,5414926,0.8,3322480,1.1,-249298,-13.3,13,1.7,690,1.7
"49047","0","10","70","0","2018","A","",1248,12811,571654376,278704712,3018007,858,44621,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,1.9,342,2.7,19509483,3.5,11272314,4.2,378298,14.3,6,0.7,340,0.8
"49049","0","10","70","0","2018","A","",16881,243379,11337481668,5294602780,21469306,896,46584,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",985,6.2,12804,5.6,1214148297,12.0,497385557,10.4,-3181421,-12.9,52,6.2,2679,6.1
"49051","0","10","70","0","2018","A","",1165,9377,372450153,185025373,868363,764,39721,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",87,8.1,669,7.7,41121573,12.4,19890627,12.0,-57246,-6.2,32,4.4,1674,4.4
"49053","0","10","70","0","2018","A","",5980,67486,2482892521,1339696161,5369069,708,36791,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",342,6.1,4589,7.3,267332097,12.1,149091289,12.5,-1204971,-18.3,31,4.6,1566,4.4
"49055","0","10","70","0","2018","A","",142,1052,33166226,17096020,259827,606,31522,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,7.6,27,2.6,2125788,6.8,852976,5.3,-22078,-7.8,24,4.1,1234,4.1
"49057","0","10","70","0","2018","A","",6215,106235,4486011756,2173743577,10298061,812,42227,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",227,3.8,2401,2.3,254929166,6.0,139821063,6.9,-1740235,-14.5,28,3.6,1478,3.6
